ID 1,Name,weitere Bezeichnung,Datum,Jahr,Originaleintrag
535,Lebenswerte Partei Österreichs,"kurz ""LPÖ""",29.11.2011,2011,"535 ""Lebenswerte Partei Österreichs"", kurz ""LPÖ"" 29.11.2011"
536,Lebenswerte Stadt,,11.09.1990,1990,"536 ""Lebenswerte Stadt"" 11.09.1990"
537,LIBERALDEMOKRATISCHE PARTEI,(LDP) - Die Liberalen -,25.04.1986,1986,"537 ""LIBERALDEMOKRATISCHE PARTEI"" (LDP) - Die Liberalen - 25.04.1986"
538,liberaldemokratische Partei,"kurz ""LDP""",20.07.2009,2009,"538 ""liberaldemokratische Partei"", kurz ""LDP"" 20.07.2009"
539,Liberal-Demokratische Union,"Abkürzung ""LDU""",25.08.1992,1992,"539 ""Liberal-Demokratische Union"", Abkürzung ""LDU"" 25.08.1992"
540,Liberal-Demokratisches Forum,(LDF),09.02.1993,1993,"540 ""Liberal-Demokratisches Forum"" (LDF) 09.02.1993"
541,LIBERALE BEWEGUNG ÖSTERREICHS,(LBÖ),18.07.1990,1990,"541 ""LIBERALE BEWEGUNG ÖSTERREICHS"" (LBÖ) 18.07.1990"
542,Liberale Demokraten,"Abkürzung ""LD""",13.11.1992,1992,"542 ""Liberale Demokraten"", Abkürzung ""LD"" 13.11.1992"
543,LIBERALE EUROPA - UNION,,18.07.1990,1990,"543 ""LIBERALE EUROPA - UNION"" 18.07.1990"
544,LIBERALE PARTEI ÖSTERREICHS,(LPÖ),25.04.1986,1986,"544 ""LIBERALE PARTEI ÖSTERREICHS"" (LPÖ) 25.04.1986"
545,Liberale Stadtpartei,,19.06.2002,2002,"545 ""Liberale Stadtpartei"" 19.06.2002"
546,liberale Volksunion,,29.06.2009,2009,"546 ""liberale Volksunion"" 29.06.2009"
547,Liberales Arbeitnehmerinnen und Arbeitnehmer Forum,"Abkürzung ""LIF""",11.11.1999,1999,"547 ""Liberales Arbeitnehmerinnen und Arbeitnehmer Forum"", Abkürzung ""LIF"" 11.11.1999"
548,Liberales Forum (LIF),,09.02.1993,1993,"548 ""Liberales Forum (LIF)"" 09.02.1993"
549,Liberales Forum,(LF),09.02.1993,1993,"549 ""Liberales Forum"" (LF) 09.02.1993"
550,LIBERALES FORUM,Österreich (LFÖ),09.02.1993,1993,"550 ""LIBERALES FORUM"" Österreich (LFÖ) 09.02.1993"
551,Liberales Studentinnen und Studenten Forum - Unigruppe Wien,"Abkürzung ""LSF""",24.01.1995,1995,"551 ""Liberales Studentinnen und Studenten Forum - Unigruppe Wien"", Abkürzung ""LSF"" 24.01.1995"
552,Liberales Studentinnen und Studenten Forum - WU-Wien,"Abkürzung ""LSF - die Liberalen WU"" bzw ""LSFWU""",17.03.1998,1998,"552 ""Liberales Studentinnen und Studenten Forum - WU-Wien"", Abkürzung ""LSF - die Liberalen WU"" bzw ""LSFWU"" 17.03.1998"
553,Liberales Studentinnen und Studenten Forum Graz (LSFG),,28.02.1997,1997,"553 ""Liberales Studentinnen und Studenten Forum Graz (LSFG)"" 28.02.1997"
554,Liberales Studentinnen und Studenten Forum Linz,"Kurzbezeichnung ""LSF-Linz""",10.01.1997,1997,"554 ""Liberales Studentinnen und Studenten Forum Linz"", Kurzbezeichnung ""LSF-Linz"" 10.01.1997"
555,Liberales Studentinnen und Studenten Forum Salzburg,"Abkürzung ""LSF - die Liberalen""",15.04.1998,1998,"555 ""Liberales Studentinnen und Studenten Forum Salzburg"", Abkürzung ""LSF - die Liberalen"" 15.04.1998"
556,Liberales Uniforum,"Abkürzung ""LUF""",08.04.1999,1999,"556 ""Liberales Uniforum"", Abkürzung ""LUF"" 08.04.1999"
557,Liberal-Fortschrittliche Partei - Pepi Wagner,LFP,15.04.1996,1996,"557 ""Liberal-Fortschrittliche Partei - Pepi Wagner"" LFP 15.04.1996"
558,Liberal-Republikanische Partei (LRP),,30.06.1986,1986,"558 ""Liberal-Republikanische Partei (LRP)"" 30.06.1986"
