Jahr,Organisation,Betrag
2012,Österr. Alpenvereinsjugend,"299691,4"
2013,Österr. Alpenvereinsjugend,"299691,4"
2014,Österr. Alpenvereinsjugend,"297695,7"
2015,Österr. Alpenvereinsjugend,"299691,4"
2005,Österr. Blasmusikjugend,"290691,4"
2006,Österr. Blasmusikjugend,"290691,4"
2007,Österr. Blasmusikjugend,"290691,4"
2008,Österr. Blasmusikjugend,"290691,4"
2009,Österr. Blasmusikjugend,"299691,4"
2010,Österr. Blasmusikjugend,"299691,4"
2011,Österr. Blasmusikjugend,"299691,4"
2012,Österr. Blasmusikjugend,"299691,4"
2013,Österr. Blasmusikjugend,"299691,4"
2014,Österr. Blasmusikjugend,"299691,4"
2015,Österr. Blasmusikjugend,"299691,4"
2005,Österr. Bundesjugendvertretung,"445003,13"
2006,Österr. Bundesjugendvertretung,"497955,08"
2007,Österr. Bundesjugendvertretung,411780
2008,Österr. Bundesjugendvertretung,"323222,75"
2009,Österr. Bundesjugendvertretung,0
2010,Österr. Bundesjugendvertretung,0
2011,Österr. Bundesjugendvertretung,2500
2012,Österr. Bundesjugendvertretung,0
2013,Österr. Bundesjugendvertretung,0
2014,Österr. Bundesjugendvertretung,0
2015,Österr. Bundesjugendvertretung,20500
2005,Österr. Gewerkschaftsjugend,"290691,4"
2006,Österr. Gewerkschaftsjugend,"290691,4"
2007,Österr. Gewerkschaftsjugend,"289231,4"
2008,Österr. Gewerkschaftsjugend,"288351,4"
2009,Österr. Gewerkschaftsjugend,"293641,4"
2010,Österr. Gewerkschaftsjugend,294430
2011,Österr. Gewerkschaftsjugend,"294891,4"
2012,Österr. Gewerkschaftsjugend,"299691,4"
2013,Österr. Gewerkschaftsjugend,"299691,4"
2014,Österr. Gewerkschaftsjugend,"299691,4"
2015,Österr. Gewerkschaftsjugend,"299691,4"
2005,Österr. Jugendrotkreuz,5200
2006,Österr. Jugendrotkreuz,3700
2007,Österr. Jugendrotkreuz,"145345,6"
2008,Österr. Jugendrotkreuz,"137354,15"
2009,Österr. Jugendrotkreuz,"272450,76"
2010,Österr. Jugendrotkreuz,"299691,4"
2011,Österr. Jugendrotkreuz,"299691,4"
2012,Österr. Jugendrotkreuz,"299691,4"
2013,Österr. Jugendrotkreuz,"299691,4"
2014,Österr. Jugendrotkreuz,"299691,4"
2015,Österr. Jugendrotkreuz,"299691,4"
2005,Österr. Jungarbeiterbewegung,"72672,8"
2006,Österr. Jungarbeiterbewegung,"72672,8"
2007,Österr. Jungarbeiterbewegung,"72672,8"
2008,Österr. Jungarbeiterbewegung,"72672,8"
2009,Österr. Jungarbeiterbewegung,"81672,8"
2010,Österr. Jungarbeiterbewegung,"81672,8"
2011,Österr. Jungarbeiterbewegung,"81672,8"
2012,Österr. Jungarbeiterbewegung,"81672,8"
2013,Österr. Jungarbeiterbewegung,"81672,8"
2014,Österr. Jungarbeiterbewegung,"81672,8"
2015,Österr. Jungarbeiterbewegung,"81672,8"
2005,Österr. Jungbauernschaft,"72672,8"
2006,Österr. Jungbauernschaft,"72672,8"
2007,Österr. Jungbauernschaft,"72672,8"
2008,Österr. Jungbauernschaft,"142672,8"
2009,Österr. Jungbauernschaft,"154345,6"
2010,Österr. Jungbauernschaft,"154345,6"
2011,Österr. Jungbauernschaft,"142278,11"
2012,Österr. Jungbauernschaft,"154345,6"
2013,Österr. Jungbauernschaft,"154345,6"
2014,Österr. Jungbauernschaft,"154345,6"
2015,Österr. Jungbauernschaft,"154345,6"
2005,Österr. Kinderfreunde,"290691,4"
2006,Österr. Kinderfreunde,"290691,4"
2007,Österr. Kinderfreunde,"290691,4"
2008,Österr. Kinderfreunde,"290691,4"
2009,Österr. Kinderfreunde,"299691,4"
2010,Österr. Kinderfreunde,"299691,4"
2011,Österr. Kinderfreunde,"299691,4"
2012,Österr. Kinderfreunde,"299691,4"
2013,Österr. Kinderfreunde,"299691,4"
2014,Österr. Kinderfreunde,"299691,4"
2015,Österr. Kinderfreunde,"299691,4"
2005,Österr. Kinderwelt,"72672,8"
2006,Österr. Kinderwelt,"72672,8"
2007,Österr. Kinderwelt,"72672,8"
2008,Österr. Kinderwelt,"72672,8"
2009,Österr. Kinderwelt,"81672,8"
2010,Österr. Kinderwelt,"81672,8"
2011,Österr. Kinderwelt,"81672,8"
2012,Österr. Kinderwelt,"81672,8"
2013,Österr. Kinderwelt,"81672,8"
2014,Österr. Kinderwelt,"81672,8"
2015,Österr. Kinderwelt,"81672,8"
2005,Österr. Kolpingwerk,"72672,8"
2006,Österr. Kolpingwerk,"72672,8"
2007,Österr. Kolpingwerk,"72672,8"
2008,Österr. Kolpingwerk,"72672,8"
2009,Österr. Kolpingwerk,"81672,8"
2010,Österr. Kolpingwerk,"81672,8"
2011,Österr. Kolpingwerk,"81672,8"
2012,Österr. Kolpingwerk,"81672,8"
2013,Österr. Kolpingwerk,"81672,8"
2014,Österr. Kolpingwerk,"81672,8"
2015,Österr. Kolpingwerk,"81672,8"
2005,Österr. Landjugend,"290691,4"
2006,Österr. Landjugend,"290691,4"
2007,Österr. Landjugend,"290691,4"
2008,Österr. Landjugend,"290691,4"
2009,Österr. Landjugend,"299691,4"
2010,Österr. Landjugend,"299691,4"
2011,Österr. Landjugend,"299691,4"
2012,Österr. Landjugend,"299690,7"
2013,Österr. Landjugend,"299691,4"
2014,Österr. Landjugend,"299691,4"
2015,Österr. Landjugend,"299691,4"
2005,Österr. Naturschutzjugend,"28834,6"
2006,Österr. Naturschutzjugend,"19034,6"
2007,Österr. Naturschutzjugend,"14534,6"
2008,Österr. Naturschutzjugend,"29034,6"
2009,Österr. Naturschutzjugend,"38069,2"
2010,Österr. Naturschutzjugend,"38069,2"
2011,Österr. Naturschutzjugend,"38069,2"
2012,Österr. Naturschutzjugend,"38069,2"
2013,Österr. Naturschutzjugend,"38069,2"
2014,Österr. Naturschutzjugend,"38069,2"
2015,Österr. Naturschutzjugend,"38069,2"
2005,Österr. Pfadfinderbund,"29069,2"
2006,Österr. Pfadfinderbund,"29069,2"
2007,Österr. Pfadfinderbund,"29034,6"
2008,Österr. Pfadfinderbund,"29034,6"
2009,Österr. Pfadfinderbund,"38034,6"
2010,Österr. Pfadfinderbund,"38064,6"
2011,Österr. Pfadfinderbund,"38064,6"
2012,Österr. Pfadfinderbund,"38069,2"
2013,Österr. Pfadfinderbund,"37364,6"
2014,Österr. Pfadfinderbund,"38064,6"
2015,Österr. Pfadfinderbund,"38034,6"
2005,Österr. Trachtenjugend,0
2006,Österr. Trachtenjugend,"72672,6"
2007,Österr. Trachtenjugend,"72672,6"
2008,Österr. Trachtenjugend,"72672,6"
2009,Österr. Trachtenjugend,"81672,4"
2010,Österr. Trachtenjugend,"81672,4"
2011,Österr. Trachtenjugend,"81672,4"
2012,Österr. Trachtenjugend,"81672,4"
2013,Österr. Trachtenjugend,"81672,4"
2014,Österr. Trachtenjugend,"81672,8"
2015,Österr. Trachtenjugend,"81672,4"
2005,Penäler Ring Österr.,"29069,2"
2006,Penäler Ring Österr.,"29069,2"
2007,Penäler Ring Österr.,"29069,2"
2008,Penäler Ring Österr.,"29069,2"
2009,Penäler Ring Österr.,"37534,6"
2010,Penäler Ring Österr.,"38034,6"
2011,Penäler Ring Österr.,"38069,17"
2012,Penäler Ring Österr.,"38069,2"
2013,Penäler Ring Österr.,"38069,17"
2014,Penäler Ring Österr.,"38068,6"
2015,Penäler Ring Österr.,"38068,6"
2005,Pfadfinder und Pfadfinderinnen Österr.,"290691,4"
2006,Pfadfinder und Pfadfinderinnen Österr.,"290691,4"
2007,Pfadfinder und Pfadfinderinnen Österr.,"280691,4"
2008,Pfadfinder und Pfadfinderinnen Österr.,"290691,4"
2009,Pfadfinder und Pfadfinderinnen Österr.,"282461,7"
2010,Pfadfinder und Pfadfinderinnen Österr.,"299691,4"
2011,Pfadfinder und Pfadfinderinnen Österr.,"299691,4"
2012,Pfadfinder und Pfadfinderinnen Österr.,"299691,4"
2013,Pfadfinder und Pfadfinderinnen Österr.,"299691,4"
2014,Pfadfinder und Pfadfinderinnen Österr.,"299691,4"
2015,Pfadfinder und Pfadfinderinnen Österr.,"297691,4"
2005,Ring Freiheitlicher Jugend Österr.,"116276,6"
2006,Ring Freiheitlicher Jugend Österr.,"72672,8"
2007,Ring Freiheitlicher Jugend Österr.,"174414,9"
2008,Ring Freiheitlicher Jugend Österr.,"174414,9"
2009,Ring Freiheitlicher Jugend Österr.,"234285,9"
2010,Ring Freiheitlicher Jugend Österr.,"234285,9"
2011,Ring Freiheitlicher Jugend Österr.,"234285,9"
2012,Ring Freiheitlicher Jugend Österr.,"234285,9"
2013,Ring Freiheitlicher Jugend Österr.,"241553,2"
2014,Ring Freiheitlicher Jugend Österr.,"241553,2"
2015,Ring Freiheitlicher Jugend Österr.,"248820,5"
2005,Schülerunion Österr.,"72672,8"
2006,Schülerunion Österr.,"72672,8"
2007,Schülerunion Österr.,"72672,8"
2008,Schülerunion Österr.,"72672,8"
2009,Schülerunion Österr.,"81672,8"
2010,Schülerunion Österr.,"81672,8"
2011,Schülerunion Österr.,"81614,57"
2012,Schülerunion Österr.,"81672,8"
2013,Schülerunion Österr.,"81672,8"
2014,Schülerunion Österr.,"81672,8"
