Jahr;Organisation;Betrag
2015;Österr. Bundesjugendvertretung;20500.00
2005;Österr. Gewerkschaftsjugend;290691.40
2006;Österr. Gewerkschaftsjugend;290691.40
2007;Österr. Gewerkschaftsjugend;289231.40
2008;Österr. Gewerkschaftsjugend;288351.40
2009;Österr. Gewerkschaftsjugend;293641.40
2010;Österr. Gewerkschaftsjugend;294430.00
2011;Österr. Gewerkschaftsjugend;294891.40
2012;Österr. Gewerkschaftsjugend;299691.40
2013;Österr. Gewerkschaftsjugend;299691.40
2014;Österr. Gewerkschaftsjugend;299691.4
2015;Österr. Gewerkschaftsjugend;299691.40
2005;Österr. Jugendrotkreuz;5200.00
2006;Österr. Jugendrotkreuz;3700.00
2007;Österr. Jugendrotkreuz;145345.60
2008;Österr. Jugendrotkreuz;137354.15
2009;Österr. Jugendrotkreuz;272450.76
2010;Österr. Jugendrotkreuz;299691.40
2011;Österr. Jugendrotkreuz;299691.40
2012;Österr. Jugendrotkreuz;299691.40
2013;Österr. Jugendrotkreuz;299691.40
2014;Österr. Jugendrotkreuz;299691.4
2015;Österr. Jugendrotkreuz;299691.40
2005;Österr. Jungarbeiterbewegung;72672.80
2006;Österr. Jungarbeiterbewegung;72672.80
2007;Österr. Jungarbeiterbewegung;72672.80
2008;Österr. Jungarbeiterbewegung;72672.80
2009;Österr. Jungarbeiterbewegung;81672.80
2010;Österr. Jungarbeiterbewegung;81672.80
2011;Österr. Jungarbeiterbewegung;81672.80
2012;Österr. Jungarbeiterbewegung;81672.80
2013;Österr. Jungarbeiterbewegung;81672.80
2014;Österr. Jungarbeiterbewegung;81672.8
2015;Österr. Jungarbeiterbewegung;81672.80
2005;Österr. Jungbauernschaft;72672.80
2006;Österr. Jungbauernschaft;72672.80
2007;Österr. Jungbauernschaft;72672.80
2008;Österr. Jungbauernschaft;142672.80
2009;Österr. Jungbauernschaft;154345.60
2010;Österr. Jungbauernschaft;154345.60
2011;Österr. Jungbauernschaft;142278.11
2012;Österr. Jungbauernschaft;154345.60
2013;Österr. Jungbauernschaft;154345.60
2014;Österr. Jungbauernschaft;154345.6
2015;Österr. Jungbauernschaft;154345.60
2005;Österr. Kinderfreunde;290691.40
2006;Österr. Kinderfreunde;290691.40
2007;Österr. Kinderfreunde;290691.40
2008;Österr. Kinderfreunde;290691.40
2009;Österr. Kinderfreunde;299691.40
2010;Österr. Kinderfreunde;299691.40
2011;Österr. Kinderfreunde;299691.40
2012;Österr. Kinderfreunde;299691.40
2013;Österr. Kinderfreunde;299691.40
2014;Österr. Kinderfreunde;299691.4
2015;Österr. Kinderfreunde;299691.40
2005;Österr. Kinderwelt;72672.80
2006;Österr. Kinderwelt;72672.80
2007;Österr. Kinderwelt;72672.80
2008;Österr. Kinderwelt;72672.80
2009;Österr. Kinderwelt;81672.80
