Jahr,Name_Zeitschrift,Name_Zeitschrift_clean,Förderungswerber,Förderungsbetrag,Nicht_gefördert
2014,Österreichische Zeitschrift für Politikwissenschaft (ÖZP),Österreichische Zeitschrift für Politikwissenschaft (ÖZP),"Facultas Verlags- und Buchhandels AG Stolberggasse 26, 1050 Wien","7771,43",
2014,PAX - Zeitschrift der Friedensbewegung Pax Christi Österreich,PAX - Die Zeitung der Friedensbewegung Pax Christi Österreich,"Pax Christi Österreich Mengerstraße 23, 4040 Linz",1360,
2014,PRIDE - Das lesbisch/schwule Österreichmagazin,PRIDE - Das lesbisch/schwule Österreichmagazin,"Verein zur Förderung der Information über Schwule, Lesben und TransGender- Personen Gerstnerstraße 13, 4040 Linz","4662,86",
2014,QUART,QUART,"Forum Katholischer AkademikerInnen Österreichs Währingerstraße 2-4, 1090 Wien","4662,86",
2014,REFORMIERTES KIRCHENBLATT,REFORMIERTES KIRCHENBLATT,"Evangelischer Oberkirchenrat H.B. Dorotheergasse 16, 1010 Wien","9325,71",
2014,RELIGIONEN UNTERWEGS,RELIGIONEN UNTERWEGS,"Petrus Bsteh Fasangartengasse 101/7, 1130 Wien","4662,86",
2014,SAAT – Evangelische Kirchenzeitung für Österreich,SAAT – Evangelische Kirchenzeitung für Österreich,"Evangelischer Presseverband in Österreich Ungargasse 9/10, 1030 Wien","10879,88",
2014,SCHOTTENGASSE,SCHOTTENGASSE,"Verein der Freunde der Katholischen Medien Akademie Meixnergasse 1, 2020 Hollabrunn","4662,86",
2014,SCHULHEFT,SCHULHEFT,"StudienVerlag GmbH Erlerstraße 10, 6020 Innsbruck","7771,43",
2014,Die SEITEN - Zeitschrift des Vereins für kulturelle Information,Die SEITEN des Vereins für kulturelle Information,"Verein für kulturelle Informationen Spengergasse 40/4, 1050 Wien",1360,
2014,SIO - SOZIALARBEIT in Österreich,SIO - SOZIALARBEIT in Österreich,"ÖBDS - Österr. Berufsverband diplomierter SozialarbeiterInnen Mariahilferstr. 81/1/3/14, 1060 Wien","4662,86",
2014,SOL,SOL,"SOL - Menschen für Solidarität, Ökologie und Lebensstil Penzinger Straße 18/2, 1140 Wien","4662,86",
2014,SOZIALE TECHNIK,SOZIALE TECHNIK,"Interdisziplinäres Forschungszentrum für Technik, Arbeit und Kultur (IFZ) Schlögelgasse 2, 8010 Graz","4662,86",
2014,SPINNRAD,SPINNRAD,"Internationaler Versöhnungsbund – Österreichischer Zweig Ledererg. 23/3/27, 1080 Wien","4662,86",
2014,SWS-RUNDSCHAU,SWS-RUNDSCHAU,"Sozialwissenschaftliche Studiengesellschaft Maria Theresien-Straße 9/8B, 1090 Wien","4662,86",
2014,TALK TOGETHER! Zeitschrift von und für MigrantInnen und NichtmigrantInnen,TALK TOGETHER! Zeitschrift von und für MigrantInnen und NichtmigrantInnen,"Verein Salzburg – Kommunikation und Kultur E.-Heinrich-Straße 1b/10, 5020 Salzburg","4662,86",
2014,TARANTEL - Zeitschrift für Kultur von Unten,TARANTEL - Zeitschrift für Kultur von unten,"Werkkreis Literatur der Arbeitswelt Vivariumstraße 8/4/18, 1020 Wien","4662,86",
2014,URSACHE & WIRKUNG - Buddhistische Aspekte,URSACHE & WIRKUNG - Buddhistische Aspekte,"Ursache & Wirkung Verein Fleischmarkt 16/1/1 DG, 1010 Wien","4662,86",
2014,VOLKSSTIMME,VOLKSSTIMME,"Verein zur Förderung gesellschaftskritischer Zeitschriften Drechslergasse 42, 1140 Wien",1360,
2014,VORWÄRTS,VORWÄRTS,"Sozialistische LinksPartei/SLP Pappenheimgasse 2/1, 1200 Wien",1360,
2014,WERKSTATT-Blatt (vormals Guernica),WERKSTATT-Blatt (vormals Guernica),"Solidar-Werkstatt Österreich Waltherstr. 15b, 4020 Linz",1360,
2014,WINA - Das Jüdische Stadtmagazin,WINA - Das Jüdische Stadtmagazin,"JMV Medien- und Verlags-GmbH Desider Friedmann Platz 1, 1010 Wien","4662,86",
2014,WIR (vormals DIE KINDER),WIR (vormals DIE KINDER),"Österreichische Kinderfreunde Bundesorganisation Rauhensteingasse 5/5, 1010 Wien","4662,86",
2014,Das WORT – Evangelische Beiträge zu Bildung und Unterricht,Das WORT – Evangelische Beiträge zu Bildung und Unterricht,"FI Dr. Lars Amann, Evang. Schulamt Wien, Abt. Pflichtschulen Hamburgerstraße 3, 1050 Wien","4662,86",
2014,YOU! MAGAZIN,YOU! MAGAZIN,"YOU! Verein - Jugendverein für christlich- katholische Werte Ebendorferstraße 8, 1010 Wien",1360,
2014,YPSILON – MÄNNERMAGAZIN der kath. Männerbewegung,YPSILON Männermagazin der katholischen Männerbewegung,"Kath. Männerbewegung Domplatz 1, 3100 St. Pölten",1360,
2014,ZEITZEICHEN,ZEITZEICHEN,"Katholische Arbeitnehmer - Bildungs- und Hilfswerk Österreich Spiegelgasse 3/2/6, 1010 Wien","4662,86",
2014,ZUKUNFT,ZUKUNFT,"VA Verlag GmbH Kaiserebersdorferstraße 305/3, 1110 Wien",1360,
2014,BEETGEFLÜSTER,BEETGEFLÜSTER,"Blumenmarketing Austria Schauflergasse 6, 1010 Wien",,Nicht gefördert
